id;template_title;template_content;paid;creation_date;update_date
1;Borders back-end Tasty;tan Shirt collaborative;false;2020-05-01T07:46:09;2020-05-01T16:02:53
2;Soft Credit Card Account;Avon navigate optical;true;2020-05-01T06:22:14;2020-05-01T13:22:22
3;Senior;Frozen;true;2020-05-01T07:02:04;2020-05-01T02:51:16
4;Officer navigate;users productize FTP;true;2020-04-30T18:08:46;2020-04-30T23:59:31
5;Concrete Tenge Squares;Home Oklahoma;true;2020-05-01T00:38:04;2020-04-30T18:32:41
6;Ergonomic Granite Tuna value-added Handmade;navigate Rustic;true;2020-05-01T13:48:32;2020-05-01T07:58:34
7;synergistic invoice harness;synergies Credit Card Account;false;2020-05-01T05:49:46;2020-05-01T10:37:26
8;Expanded;web-enabled Central;true;2020-05-01T07:48:49;2020-05-01T00:21:03
9;Faroe Islands;content-based Savings Account;false;2020-05-01T09:35:19;2020-04-30T19:48:02
10;Crest ubiquitous;Berkshire;false;2020-05-01T09:18:40;2020-05-01T07:12:38
